# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
5998,18120,32767,0,0
6013,18233,32767,0,0
6028,19335,32767,0,0
6044,19420,32767,0,0
6058,27117,32767,0,0
6073,32767,32767,0,0
6103,32767,20382,0,0
6118,32767,4472,0,0
6133,32767,-11531,0,0
6148,32767,-28247,0,0
6163,32767,-32767,0,0
6178,30268,-32767,0,0
6192,20212,-32767,0,0
6208,14651,-32767,0,0
6223,10829,-32767,0,0
6238,6458,-32767,0,0
6253,2571,-32767,0,0
6268,475,-32767,0,0
6284,-1061,-32767,0,0
6298,-3437,-32767,0,0
6313,-5283,-32767,0,0
6328,-7942,-32767,0,0
6343,-13104,-32767,0,0
6358,-19844,-32767,0,0
6373,-25115,-32767,0,0
6388,-30572,-32767,0,0
6403,-32767,-32767,0,0
6433,-32767,-22791,0,0
6448,-32767,-14032,0,0
6463,-32767,-6682,0,0
6478,-32767,-2375,0,0
6492,-32767,586,0,0
6508,-32767,4388,0,0
6523,-32767,7634,0,0
6553,-32767,11643,0,0
6568,-32767,14989,0,0
6583,-32767,21685,0,0
6598,-32767,31393,0,0
6628,-32767,32767,0,0
6659,-16934,32767,0,0
6672,-5479,32767,0,0
6688,-27,32767,0,0
6718,5003,32767,0,0
6734,7998,32767,0,0
6748,11307,32767,0,0
6764,14820,32767,0,0
6778,18063,32767,0,0
6793,18374,32767,0,0
6808,26319,32767,0,0
6823,32767,32767,0,0
6868,32767,23985,0,0
6883,32767,14567,0,0
6898,32767,6122,0,0
6913,32767,-1481,0,0
6928,32767,-7158,0,0
6944,32767,-14454,0,0
6958,32767,-23558,0,0
6974,32767,-32748,0,0
6988,32767,-32767,0,0
7018,27845,-32767,0,0
7033,15863,-32767,0,0
7048,5870,-32767,0,0
7063,-2515,-32767,0,0
7093,-12317,-32767,0,0
7108,-21317,-32767,0,0
7123,-27254,-32767,0,0
7138,-32767,-32767,0,0
7183,-32767,-26789,0,0
7198,-32767,-19815,0,0
7213,-32767,-7634,0,0
7229,-32767,-866,0,0
7243,-32767,7634,0,0
7258,-32767,19872,0,0
7273,-32767,32767,0,0
7303,-23530,32767,0,0
7318,-9763,32767,0,0
7333,-2095,32767,0,0
7349,866,32767,0,0
7378,4975,32767,0,0
7393,7970,32767,0,0
7409,10998,32767,0,0
7423,13161,32767,0,0
7437,15834,32767,0,0
7453,18741,32767,0,0
7468,24013,32767,0,0
7483,32767,32767,0,0
7513,32767,32206,0,0
7529,32767,19391,0,0
7543,32767,5898,0,0
7558,32767,-7578,0,0
7573,32767,-21175,0,0
7588,32767,-32064,0,0
7604,32767,-32767,0,0
7648,31423,-32767,0,0
7664,22706,-32767,0,0
7678,14877,-32767,0,0
7693,7158,-32767,0,0
7708,-419,-32767,0,0
7724,-11166,-32767,0,0
7738,-22349,-32767,0,0
7753,-31774,-32767,0,0
7768,-32767,-32767,0,0
7903,-26357,-32767,0,0
7918,-12261,-32767,0,0
7933,782,-32767,0,0
7949,11335,-32767,0,0
7979,21458,-32767,0,0
7993,30605,-32767,0,0
8008,32767,-32767,0,0
8083,32767,-27792,0,0
8113,32767,2459,0,0
8128,32767,10409,0,0
8143,32767,17273,0,0
8157,32767,32767,0,0
8188,29726,32767,0,0
8204,21628,32767,0,0
8218,14426,32767,0,0
8234,7270,32767,0,0
8248,-810,32767,0,0
8263,-11138,32767,0,0
8278,-23416,32767,0,0
8294,-32767,32767,0,0
8323,-32767,32634,0,0
8338,-32767,24553,0,0
8353,-32767,18487,0,0
8368,-32767,12711,0,0
8383,-32767,7214,0,0
8398,-32767,1592,0,0
8413,-32767,-6234,0,0
8428,-32767,-16796,0,0
8443,-32767,-30231,0,0
8459,-28394,-32767,0,0
8473,-12723,-32767,0,0
8489,-1564,-32767,0,0
8503,6094,-32767,0,0
8518,12908,-32767,0,0
8533,20495,-32767,0,0
8548,27591,-32767,0,0
8563,32767,-32767,0,0
8608,32767,-27908,0,0
8623,32767,-19222,0,0
8638,32767,-8670,0,0
8653,32767,5479,0,0
8668,32767,15947,0,0
8684,32767,20467,0,0
8698,32767,27574,0,0
8713,32767,32767,0,0
9043,21615,32767,0,0
9058,13048,32767,0,0
9073,7606,32767,0,0
9088,4751,32767,0,0
9103,-1397,32767,0,0
9118,-3521,32767,0,0
9133,614,32767,0,0
9148,1620,32767,0,0
9178,894,32767,0,0
9193,-335,32767,0,0
9208,-4779,32767,0,0
9223,-7358,32767,0,0
9238,815,17534,0,0
9253,0,0,0,0
9763,0,0,1816,2515
9778,0,0,9158,10156
9808,0,0,25127,23209
9823,0,0,32767,32767
9854,0,0,32767,27089
9868,0,0,32767,20212
9883,0,0,32767,14483
9899,0,0,32767,8979
9913,0,0,32767,3018
9928,0,0,32767,-7018
9944,0,0,32767,-13020
9959,0,0,32767,-18063
9973,0,0,32767,-20693
9988,0,0,32767,-21855
10003,0,0,32767,-29122
10019,0,0,32767,-32767
10123,0,0,30463,-32767
10138,0,0,28239,-32767
10153,0,0,23842,-32767
10183,0,0,14567,-32767
10229,0,0,9315,-32767
10243,0,0,2375,-32767
10258,0,0,-5451,-32767
10273,0,0,-13835,-32767
10288,0,0,-23274,-32767
10302,0,0,-32767,-32767
10363,0,0,-32767,-30952
10379,0,0,-32767,-363
10393,0,0,-32767,5647
10409,0,0,-32767,6206
10438,0,0,-32767,7102
10453,0,0,-32767,9483
10469,0,0,-32767,13667
10483,0,0,-32767,31224
10498,0,0,-32767,32767
10513,0,0,-24809,32767
10528,0,0,-10605,32767
10543,0,0,-950,32767
10559,0,0,5255,32767
10573,0,0,9539,32767
10588,0,0,12149,32767
10603,0,0,14314,32767
10618,0,0,15975,32767
10633,0,0,20438,32767
10649,0,0,27374,32767
10663,0,0,32767,32767
10709,0,0,32767,22678
10724,0,0,32767,12767
10738,0,0,32767,5619
10752,0,0,32767,-111
10768,0,0,32767,-4640
10783,0,0,32767,-8418
10798,0,0,32767,-11026
10813,0,0,32767,-13385
10843,0,0,32767,-16878
10873,0,0,32767,-20637
10888,0,0,32767,-23132
10903,0,0,32767,-28052
10918,0,0,32767,-31656
10948,0,0,32767,-32767
11083,0,0,28970,-32767
11113,0,0,18176,-32767
11143,0,0,13329,-32767
11159,0,0,11559,-32767
11173,0,0,11475,-32767
11188,0,0,8838,-32767
11218,0,0,6402,-32767
11248,0,0,4276,-32767
11278,0,0,447,-32767
11293,0,0,-2515,-32767
11308,0,0,-2543,-32767
11324,0,0,-9063,-32767
11338,0,0,-11784,-32767
11353,0,0,-14680,-32767
11368,0,0,-17950,-32767
11383,0,0,-21288,-32767
11398,0,0,-24781,-32767
11413,0,0,-27601,-32767
11428,0,0,-27539,-32767
11443,0,0,-32767,-32767
11518,0,0,-32767,-30927
11533,0,0,-32767,-24326
11549,0,0,-32767,-17696
11564,0,0,-32767,-11363
11578,0,0,-32767,-5031
11593,0,0,-32767,642
11608,0,0,-32767,6654
11624,0,0,-32767,11503
11638,0,0,-32767,15891
11653,0,0,-32767,20353
11669,0,0,-32767,23530
11683,0,0,-32767,26518
11698,0,0,-32767,29224
11714,0,0,-32767,31393
11728,0,0,-32767,32767
11848,0,0,-31544,32767
11863,0,0,-31143,32767
11879,0,0,-31150,32767
11893,0,0,-30720,32767
11968,0,0,-30727,32767
11984,0,0,-28983,32767
11998,0,0,-23530,32767
12013,0,0,-21232,32767
12028,0,0,-19448,32767
12044,0,0,-16314,32767
12058,0,0,-12177,32767
12073,0,0,-7690,32767
12089,0,0,-3269,32767
12118,0,0,111,32767
12133,0,0,3689,32767
12148,0,0,6654,32767
12163,0,0,9203,32767
12179,0,0,11419,32767
12193,0,0,13723,32767
12208,0,0,15665,32767
12223,0,0,18967,32767
12238,0,0,26290,32767
12253,0,0,30067,32767
12268,0,0,32767,32767
12373,0,0,32767,28770
12388,0,0,32767,25236
12403,0,0,32767,23104
12418,0,0,32767,22650
12433,0,0,32767,18346
12448,0,0,32767,16060
12463,0,0,32767,13835
12478,0,0,32767,11250
12493,0,0,32767,10998
12508,0,0,32767,7326
12524,0,0,32767,5870
12539,0,0,32767,5814
12553,0,0,32767,4304
12568,0,0,32767,4276
12583,0,0,32767,2459
12613,0,0,32767,-279
12643,0,0,32767,-1928
12673,0,0,32767,-4052
12703,0,0,32767,-5507
12733,0,0,32767,-6822
12763,0,0,32767,-9455
12778,0,0,32767,-11166
12793,0,0,32767,-13779
12823,0,0,32767,-19222
12838,0,0,32767,-22139
12853,0,0,32767,-22905
12868,0,0,32767,-27460
12883,0,0,32767,-28756
12898,0,0,32767,-32767
12988,0,0,31788,-32767
13003,0,0,26148,-32767
13018,0,0,21317,-32767
13033,0,0,18600,-32767
13048,0,0,15327,-32767
13066,0,0,12458,-32767
13079,0,0,8110,-32767
13093,0,0,2487,-32767
13108,0,0,-4052,-32767
13123,0,0,-11559,-32767
13138,0,0,-18402,-32767
13154,0,0,-25606,-32767
13168,0,0,-32278,-32767
13183,0,0,-32767,-32767
13229,0,0,-32767,-31583
13243,0,0,254,184
13259,0,0,0,0
13844,-39,34,0,0
13858,-5753,3684,0,0
13873,-14936,8075,0,0
13889,-25816,12321,0,0
13903,-32767,13183,0,0
13918,-32767,20525,0,0
13933,-32767,19985,0,0
14009,-32767,20382,0,0
14070,-32767,22025,0,0
14114,-32767,32767,0,0
14203,-29378,32767,0,0
14234,-26547,32767,0,0
14263,-23786,32767,0,0
14294,-20637,32767,0,0
14323,-18572,32767,0,0
14353,-15243,32767,0,0
14398,-10521,32767,0,0
14413,-8586,32767,0,0
14444,-8390,32767,0,0
14458,-3968,32767,0,0
14473,-3913,32767,0,0
14489,279,32767,0,0
14518,3325,32767,0,0
