# sticktest
# device      Pro Controller
# sdl mapping yes
# hidapi hint 0
# axes 4, buttons 18, hats 0
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3
#   roundness 0.7097 (min 1.0036 max 1.4142 mean 1.1460 sd 0.1337, 48 low)
#   reach X -1.0000 / +1.0000 (100.00%)   Y -1.0000 / +1.0000 (100.00%)
#   drift 0.00000 (rest x +0.00000 y -0.00000)
#   envelope: sector-centre deg, max radius, visits
#   env 1    2.5 1.0038 1646
#   env 1    7.5 1.0154 2473
#   env 1   12.5 1.0351 2810
#   env 1   17.5 1.0641 2078
#   env 1   22.5 1.1029 2408
#   env 1   27.5 1.1542 1672
#   env 1   32.5 1.2206 3638
#   env 1   37.5 1.3051 1637
#   env 1   42.5 1.4139 1340
#   env 1   47.5 1.4142 7257
#   env 1   52.5 1.3049 811
#   env 1   57.5 1.2202 1217
#   env 1   62.5 1.1545 1219
#   env 1   67.5 1.1030 1277
#   env 1   72.5 1.0642 1609
#   env 1   77.5 1.0349 434
#   env 1   82.5 1.0152 2406
#   env 1   87.5 1.0036 449
#   env 1   92.5 1.0038 446
#   env 1   97.5 1.0154 1559
#   env 1  102.5 1.0349 469
#   env 1  107.5 1.0639 830
#   env 1  112.5 1.1028 1161
#   env 1  117.5 1.1545 821
#   env 1  122.5 1.2204 1658
#   env 1  127.5 1.3045 1212
#   env 1  132.5 1.4134 4991
#   env 1  137.5 1.4142 10978
#   env 1  142.5 1.3047 1215
#   env 1  147.5 1.2207 1196
#   env 1  152.5 1.1544 830
#   env 1  157.5 1.1024 453
#   env 1  162.5 1.0641 1192
#   env 1  167.5 1.0352 2035
#   env 1  172.5 1.0154 466
#   env 1  177.5 1.0037 427
#   env 1  182.5 1.0037 736
#   env 1  187.5 1.0149 423
#   env 1  192.5 1.0349 428
#   env 1  197.5 1.0641 2410
#   env 1  202.5 1.1014 22
#   env 1  207.5 1.1519 408
#   env 1  212.5 1.2196 27
#   env 1  217.5 1.3039 413
#   env 1  222.5 1.4134 1270
#   env 1  227.5 1.4142 6940
#   env 1  232.5 1.3052 1579
#   env 1  237.5 1.2205 474
#   env 1  242.5 1.1543 1632
#   env 1  247.5 1.1024 1625
#   env 1  252.5 1.0640 1586
#   env 1  257.5 1.0350 56
#   env 1  262.5 1.0151 1972
#   env 1  267.5 1.0037 868
#   env 1  272.5 1.0037 1984
#   env 1  277.5 1.0152 841
#   env 1  282.5 1.0351 1236
#   env 1  287.5 1.0641 2429
#   env 1  292.5 1.1032 2023
#   env 1  297.5 1.1546 1746
#   env 1  302.5 1.2200 813
#   env 1  307.5 1.3038 1238
#   env 1  312.5 1.4136 2510
#   env 1  317.5 1.4142 13017
#   env 1  322.5 1.3047 6187
#   env 1  327.5 1.2207 8119
#   env 1  332.5 1.1546 4051
#   env 1  337.5 1.1029 6529
#   env 1  342.5 1.0640 7762
#   env 1  347.5 1.0350 31309
#   env 1  352.5 1.0154 8506
#   env 1  357.5 1.0038 3269
