# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
5280,345,-239,-2580,-1271,-32768,-32768
5294,345,-239,254,-255,-32768,-32768
5550,6636,-334,-852,-302,-32768,-32768
5565,29564,-27828,-2258,-2987,-32768,-32768
5580,25047,-31672,-10231,-13692,-32768,-32768
5595,22236,-32593,-13134,-26319,-32768,-32768
5610,12327,-32768,-11567,-32768,-32768,-32768
5625,7604,-32768,-7258,-32768,-32768,-32768
5640,5783,-32768,-3064,-32768,-32768,-32768
5655,5553,-32768,-2189,-32768,-32768,-32768
5730,5553,-32768,-1705,-32768,-32768,-32768
5745,5553,-32768,-806,-32768,-32768,-32768
5821,5576,-32768,-806,-32768,-32768,-32768
5834,5392,-32768,-553,-12103,-32768,-32768
5850,3940,-32768,206,740,-32768,-32768
5865,1267,14625,254,-255,-32768,-32768
5880,345,-239,254,-255,-32768,-32768
6150,27858,-5083,-3640,-286,-32768,-32768
6165,32767,-7196,-21660,3611,-32768,-32768
6180,32767,-7196,-32768,11948,-32768,-32768
6195,32767,-7148,-32768,11948,-32768,-32768
6211,32767,-6592,-32768,11948,-32768,-32768
6224,32767,-3384,-32768,11948,-32768,-32768
6240,32767,-747,-32768,11948,-32768,-32768
6255,32767,1321,-32768,10916,-32768,-32768
6270,32767,2853,-32768,8384,-32768,-32768
6284,32767,4014,-32768,5772,-32768,-32768
6300,32767,4482,-32768,4062,-32768,-32768
6316,32767,4788,-32768,3014,-32768,-32768
6330,32767,4788,-32768,2853,-32768,-32768
6374,32767,4788,-32768,5288,-32768,-32768
6390,32767,4852,-32768,8223,-32768,-32768
6405,32767,5127,-32768,8981,-32768,-32768
6420,238,-239,-13594,4175,-32768,-32768
6435,238,-239,254,-255,-32768,-32768
6749,238,-239,-274,-1160,-32768,-32768
6764,1127,-7021,-983,-7005,-32768,-32768
6780,555,-19823,301,-21919,-32768,-32768
6795,-370,-29654,4431,-32768,-32768,-32768
6810,1651,-32768,4622,-32768,-32768,-32768
6825,5034,-32768,4034,-32768,-32768,-32768
6855,9450,-32768,4034,-32768,-32768,-32768
6870,9815,-32768,3764,-32768,-32768,-32768
6930,9815,-32768,3891,-32768,-32768,-32768
6944,9815,-32768,905,-32768,-32768,-32768
6960,11102,-32768,-6079,-32768,-32768,-32768
6974,11292,-32768,-13997,-32768,-32768,-32768
6990,16534,-32005,-19012,-30544,-32768,-32768
7004,21871,-28638,-23672,-27145,-32768,-32768
7020,26906,-23968,-28462,-21824,-32768,-32768
7035,30988,-18393,-32655,-15328,-32768,-32768
7049,32767,-13422,-32768,-9499,-32768,-32768
7065,32767,-9022,-32768,-5258,-32768,-32768
7080,32767,-4337,-32768,-2447,-32768,-32768
7095,32767,1192,-32768,-938,-32768,-32768
7110,32767,6513,-32768,-938,-32768,-32768
7125,32767,12593,-32768,176,-32768,-32768
7140,28891,20462,-32768,176,-32768,-32768
7155,21744,28267,-32768,2079,-32768,-32768
7169,14723,32767,-32768,5530,-32768,-32768
7185,9069,32767,-32768,10900,-32768,-32768
7200,4494,32767,-30203,19366,-32768,-32768
7215,524,32767,-22544,27913,-32768,-32768
7231,-4418,32767,-12981,32767,-32768,-32768
7245,-10643,32089,-4144,32767,-32768,-32768
7260,-17754,19850,6591,32767,-32768,-32768
7275,-27462,6497,20743,29461,-32768,-32768
7290,-32768,-1541,32036,16286,-32768,-32768
