# sticktest
# device      Nintendo Switch Pro Controller
# sdl mapping yes
# hidapi hint 1
# axes 6, buttons 16, hats 1
# raw int16 values, one row per CHANGE (not per poll)
ms,a0,a1,a2,a3,a4,a5
209356,-15222,-25461,254,-369,-32768,-32768
209371,-15400,-25080,254,-369,-32768,-32768
209385,-15464,-27034,254,-369,-32768,-32768
209400,-16077,-29226,254,-369,-32768,-32768
209431,-14852,-32053,254,-369,-32768,-32768
209446,-13062,-32768,254,-369,-32768,-32768
209460,-11900,-32768,254,-369,-32768,-32768
209475,-11675,-32768,254,-369,-32768,-32768
209490,-12078,-32768,254,-369,-32768,-32768
209506,-12981,-32768,254,-369,-32768,-32768
209520,-14352,-32768,254,-369,-32768,-32768
209535,-16416,-32005,254,-369,-32768,-32768
209551,-18980,-30576,254,-369,-32768,-32768
209565,-21350,-28987,254,-369,-32768,-32768
209580,-22866,-27701,254,-369,-32768,-32768
209596,-23527,-27145,254,-369,-32768,-32768
209625,-23527,-26986,254,-369,-32768,-32768
209700,-23721,-26986,254,-369,-32768,-32768
209716,-23721,-26795,254,-369,-32768,-32768
209730,-23930,-26494,254,-369,-32768,-32768
209745,-24156,-25938,254,-369,-32768,-32768
209761,-24882,-25159,254,-369,-32768,-32768
209775,-26011,-23968,254,-369,-32768,-32768
209791,-27801,-22205,254,-369,-32768,-32768
209805,-31703,-17218,254,-369,-32768,-32768
209820,-32768,-13978,254,-369,-32768,-32768
209835,-30445,-12993,254,-369,-32768,-32768
209850,-23624,-10436,254,-369,-32768,-32768
209866,-14206,-5004,254,-369,-32768,-32768
209880,-9175,-715,254,-369,-32768,-32768
209895,-8224,63,254,-369,-32768,-32768
209925,-4483,15,254,-369,-32768,-32768
209940,-4483,-350,254,-369,-32768,-32768
209955,-3450,-334,254,-369,-32768,-32768
209985,-3628,-477,254,-369,-32768,-32768
210001,-5015,-509,254,-369,-32768,-32768
210016,-7127,-334,254,-369,-32768,-32768
210030,-8691,-2637,254,-369,-32768,-32768
210046,-11449,-5401,254,-369,-32768,-32768
210061,-18206,-5671,254,-369,-32768,-32768
210076,-28349,-5099,254,-369,-32768,-32768
210090,-32768,-3463,254,-369,-32768,-32768
210105,-32768,-1954,254,-369,-32768,-32768
210121,-32768,208,254,-369,-32768,-32768
210136,-32768,4594,254,-369,-32768,-32768
210150,-32010,6594,254,-369,-32768,-32768
210166,-32010,7255,254,-369,-32768,-32768
210181,-31107,9110,254,-369,-32768,-32768
210196,-31107,12867,254,-369,-32768,-32768
210210,-31107,15947,254,-369,-32768,-32768
210225,-30784,16318,254,-369,-32768,-32768
210256,-28994,15254,254,-369,-32768,-32768
210270,-26317,11335,254,-369,-32768,-32768
210285,-20899,5191,254,-369,-32768,-32768
210301,-13561,-1462,254,-369,-32768,-32768
210316,-5885,-5385,254,-369,-32768,-32768
210331,-645,-5703,254,-369,-32768,-32768
210345,2128,-5639,254,-369,-32768,-32768
210361,2461,-3400,254,-369,-32768,-32768
210376,1937,-1414,254,-369,-32768,-32768
210391,238,-239,254,-369,-32768,-32768
210556,1318,321,254,-369,-32768,-32768
210571,1604,934,254,-369,-32768,-32768
210586,2255,1595,254,-369,-32768,-32768
210630,3065,1805,254,-369,-32768,-32768
210645,4336,2030,254,-369,-32768,-32768
210660,7655,3901,254,-369,-32768,-32768
210675,15279,8529,254,-369,-32768,-32768
210690,22268,16689,254,-369,-32768,-32768
210735,22855,4046,254,-369,-32768,-32768
210751,22951,-8562,254,-369,-32768,-32768
210765,26763,-24064,254,-369,-32768,-32768
210780,24412,-26541,254,-369,-32768,-32768
210795,19329,-30417,254,-369,-32768,-32768
210810,13500,-32768,254,-369,-32768,-32768
210826,8179,-32768,254,-369,-32768,-32768
210840,3256,-32768,254,-369,-32768,-32768
210855,-25027,-24191,254,-369,-32768,-32768
210870,-32768,-7577,254,-369,-32768,-32768
210886,-32768,-5163,254,-369,-32768,-32768
210900,-32768,-1891,254,-369,-32768,-32768
210915,-32768,692,254,-369,-32768,-32768
210930,-32768,2869,254,-369,-32768,-32768
210945,-32768,4675,254,-369,-32768,-32768
210961,-32768,8707,254,-369,-32768,-32768
210976,-31784,12528,254,-369,-32768,-32768
210990,-31784,15318,254,-369,-32768,-32768
211006,-29220,16092,254,-369,-32768,-32768
211021,-29397,16350,254,-369,-32768,-32768
211036,-31074,13302,254,-369,-32768,-32768
211050,-24995,10400,254,-369,-32768,-32768
211065,-20754,7416,254,-369,-32768,-32768
211081,-16029,3127,254,-369,-32768,-32768
211096,-7724,-2748,254,-369,-32768,-32768
211110,127,-10642,254,-369,-32768,-32768
211126,11102,-31211,254,-369,-32768,-32768
211141,16105,-32227,254,-369,-32768,-32768
211155,17217,-31672,254,-369,-32768,-32768
211170,20076,-29956,254,-369,-32768,-32768
211186,24078,-26875,254,-369,-32768,-32768
211200,27192,-23698,254,-369,-32768,-32768
211215,28875,-21554,254,-369,-32768,-32768
211233,30479,-19251,254,-369,-32768,-32768
211245,32433,-15788,254,-369,-32768,-32768
211260,32767,-12628,254,-369,-32768,-32768
211275,32767,-9975,254,-369,-32768,-32768
211290,32767,-7863,254,-369,-32768,-32768
211305,32767,-5369,254,-369,-32768,-32768
211320,32767,-2319,254,-369,-32768,-32768
211335,32767,1240,254,-369,-32768,-32768
211351,-177,-350,254,-369,-32768,-32768
211365,238,-239,254,-369,-32768,-32768
211531,238,-239,-2650,-1544,-32768,-32768
211546,238,-239,-10692,-3826,-32768,-32768
211560,238,-239,-22029,-6660,-32768,-32768
211575,238,-239,-32768,-7996,-32768,-32768
211590,238,-239,-32768,-7950,-32768,-32768
211620,238,-239,-32768,-4563,-32768,-32768
211636,238,-239,-32768,91,-32768,-32768
211651,238,-239,-32768,2510,-32768,-32768
211665,238,-239,-32768,4930,-32768,-32768
211680,238,-239,-32768,7972,-32768,-32768
211695,238,-239,-32768,13940,-32768,-32768
211710,238,-239,-31897,23549,-32768,-32768
211725,3494,676,-25898,32767,-32768,-32768
211740,13818,2627,-17496,32767,-32768,-32768
211756,32767,627,889,26949,-32768,-32768
211771,32767,176,24190,10556,-32768,-32768
211786,32767,176,32767,-1936,-32768,-32768
211800,32767,-159,32767,-2097,-32768,-32768
211830,32767,-159,32767,-2351,-32768,-32768
211845,32767,-763,32767,-2697,-32768,-32768
211861,32767,-763,32767,-3756,-32768,-32768
211875,32767,-2717,32767,-5185,-32768,-32768
211891,32767,-4797,32767,-8112,-32768,-32768
211906,32767,-6656,32767,-13204,-32768,-32768
211921,32767,-8212,32767,-19080,-32768,-32768
211936,31829,-8339,29383,-25924,-32768,-32768
211950,26747,-6243,17185,-27975,-32768,-32768
211966,17106,-5178,254,-369,-32768,-32768
211981,47,47,254,-369,-32768,-32768
211995,-18931,8013,254,-369,-32768,-32768
212011,-32768,13722,254,-369,-32768,-32768
212056,-32768,13560,254,-369,-32768,-32768
212115,-32768,13157,254,-369,-32768,-32768
212161,4907,-3209,254,-369,-32768,-32768
212190,2144,-1700,254,-369,-32768,-32768
212206,238,-239,254,-369,-32768,-32768
212311,5162,-604,254,-369,-32768,-32768
212325,18329,-3876,254,-369,-32768,-32768
212340,32767,-6846,254,-369,-32768,-32768
212356,32767,-6624,254,-369,-32768,-32768
212370,32767,-3797,254,-369,-32768,-32768
212386,32767,-2415,254,-369,-32768,-32768
212400,32767,-1795,254,-369,-32768,-32768
212445,32767,-9340,254,-369,-32768,-32768
212460,32401,-15741,254,-369,-32768,-32768
212475,26556,-24365,254,-369,-32768,-32768
212491,17344,-31592,254,-369,-32768,-32768
212505,7433,-32768,254,-369,-32768,-32768
212521,-11336,-32768,254,-369,-32768,-32768
212536,-29123,-20442,254,-369,-32768,-32768
212550,-31074,-17583,254,-369,-32768,-32768
212565,-31510,-16710,254,-369,-32768,-32768
212581,-32768,-13469,254,-369,-32768,-32768
212596,-32768,-10674,254,-369,-32768,-32768
212611,-32768,-7593,254,-369,-32768,-32768
212626,-32768,-2002,254,-369,-32768,-32768
212641,-31768,6723,254,-369,-32768,-32768
212655,-22092,17737,254,-369,-32768,-32768
212670,-13320,27977,254,-369,-32768,-32768
212685,-4934,32767,254,-369,-32768,-32768
212700,1461,32767,254,-369,-32768,-32768
212716,4780,32767,254,-369,-32768,-32768
212730,8386,32767,254,-369,-32768,-32768
212746,12754,32767,254,-369,-32768,-32768
212760,20298,29735,254,-369,-32768,-32768
212775,31909,16512,254,-369,-32768,-32768
212790,32767,-223,254,-369,-32768,-32768
212805,32767,-6417,254,-369,-32768,-32768
212835,32767,-9419,254,-369,-32768,-32768
212850,32767,-13930,254,-369,-32768,-32768
212865,30384,-19362,254,-369,-32768,-32768
212880,24857,-26112,254,-369,-32768,-32768
212896,17550,-31497,254,-369,-32768,-32768
212910,9863,-32768,254,-369,-32768,-32768
212925,698,-32768,254,-369,-32768,-32768
212940,-15480,-32450,254,-369,-32768,-32768
212955,-32768,-10356,254,-369,-32768,-32768
212970,-32768,-6544,254,-369,-32768,-32768
212985,-32768,-2431,254,-369,-32768,-32768
213000,-32768,3466,254,-369,-32768,-32768
213015,-28075,11883,254,-369,-32768,-32768
213031,-24043,19608,254,-369,-32768,-32768
213046,-16996,24091,254,-369,-32768,-32768
213060,-8256,30993,254,-369,-32768,-32768
213075,2033,32767,254,-369,-32768,-32768
213090,10530,32767,254,-369,-32768,-32768
213107,19679,28993,254,-369,-32768,-32768
213121,26937,21623,254,-369,-32768,-32768
213135,32639,15109,254,-369,-32768,-32768
213151,32767,9416,254,-369,-32768,-32768
213165,32767,7094,254,-369,-32768,-32768
213180,32767,2611,254,-369,-32768,-32768
213195,32767,-1827,254,-369,-32768,-32768
213210,32767,-6100,254,-369,-32768,-32768
213225,32767,-10992,254,-369,-32768,-32768
213240,30575,-19044,254,-369,-32768,-32768
213256,24412,-26510,254,-369,-32768,-32768
213271,18011,-31259,254,-369,-32768,-32768
213286,4415,-30766,254,-369,-32768,-32768
213301,-13481,-20474,254,-369,-32768,-32768
213315,-32768,-10928,254,-369,-32768,-32768
213330,-32768,-6528,254,-369,-32768,-32768
213346,-32768,-2669,254,-369,-32768,-32768
213360,-32768,1805,254,-369,-32768,-32768
213375,-32768,6755,254,-369,-32768,-32768
213390,-32768,10642,254,-369,-32768,-32768
213405,-29397,15125,254,-369,-32768,-32768
213420,-26269,19108,254,-369,-32768,-32768
213435,-22382,22930,254,-369,-32768,-32768
213451,-3241,25655,254,-369,-32768,-32768
213465,-258,-2304,254,-369,-32768,-32768
213480,-322,-1716,254,-369,-32768,-32768
213496,238,-239,254,-369,-32768,-32768
213795,238,-239,555,222,-32768,-32768
213811,238,-239,8592,2917,-32768,-32768
213825,238,-239,16057,3233,-32768,-32768
213840,238,-239,25286,3195,-32768,-32768
213855,238,-239,32767,-1291,-32768,-32768
213871,238,-239,32767,-6337,-32768,-32768
213885,238,-239,32767,-11822,-32768,-32768
213901,238,-239,32767,-16453,-32768,-32768
213916,238,-239,32767,-21453,-32768,-32768
213931,238,-239,31671,-25094,-32768,-32768
213946,238,-239,29860,-29472,-32768,-32768
213961,238,-239,25238,-32767,-32768,-32768
213976,238,-239,16756,-32768,-32768,-32768
213991,238,-239,6670,-32768,-32768,-32768
214005,238,-239,-3402,-32768,-32768,-32768
